country,building_total_floors,apartment_rooms,apartment_bedrooms,apartment_total_area,price_in_USD
Turkey,7,4,3,160,1510830
Turkey,3,5,4,274,2097771
Turkey,3,4,3,175,1652131
Turkey,3,3,2,99,372816
Turkey,44,5,4,350,2320592
Turkey,15,3,2,316,1657565
Turkey,3,4,3,235,1820605
Turkey,3,6,5,321,1347791
Turkey,6,6,5,492,2396677
Turkey,65,5,4,311,2429284
Turkey,12,5,4,278,1600000
Turkey,4,4,3,161,2092880
Turkey,20,3,2,117,1239098
Turkey,15,5,4,258,2733624
Turkey,3,5,4,214,2260811
Turkey,7,5,4,376,2679278
Turkey,6,6,5,444,2603193
Turkey,4,4,3,293,2456458
Turkey,43,5,4,233,1983644
Turkey,10,3,2,164,2880360
Turkey,17,5,4,311,2967314
Turkey,10,5,4,212,2304288
Turkey,17,6,5,364,3369477
Turkey,6,6,5,369,2918402
Turkey,18,4,3,164,1184752
Turkey,13,4,3,167,3204971
Turkey,12,5,4,350,2896664
Turkey,5,4,3,254,4124892
Turkey,10,4,3,241,4407494
Turkey,6,5,4,155,1233663
Turkey,5,5,4,252,4124892
Turkey,25,5,4,262,1336922
Turkey,18,6,5,332,4037938
Turkey,42,5,4,299,2999922
Turkey,12,5,4,345,5277036
Turkey,12,5,4,244,1391268
Turkey,5,4,3,136,5863977
Turkey,5,6,5,537,6494396
Turkey,10,5,4,395,6537873
Turkey,7,4,3,360,2342330
Turkey,5,7,6,595,6494396
Turkey,2,5,4,196,2282549
Turkey,3,5,4,250,2603193
Turkey,44,4,3,223,2059729
Turkey,18,5,4,208,1907559
Turkey,10,4,3,169,1766258
Turkey,12,4,3,166,2027121
Turkey,43,6,5,310,2097771
Turkey,20,5,4,237,2505369
Turkey,3,4,3,242,2086902
Turkey,34,2,1,74,352165
Turkey,20,4,3,181,1516265
Turkey,41,3,2,147,1711912
Turkey,7,4,3,71,350000
Turkey,4,3,2,110,285319
Turkey,5,3,2,100,266297
Turkey,2,3,2,121,1793431
Turkey,20,2,1,50,284000
Turkey,5,4,3,140,274461
Turkey,6,3,2,136,282601
Turkey,2,3,2,75,227168
Turkey,10,3,2,88,241298
Turkey,44,3,2,111,281514
Turkey,4,3,2,110,258689
Turkey,30,3,2,105,250000
Turkey,4,4,3,140,260863
Turkey,4,3,2,100,248907
Turkey,10,5,4,190,252167
Turkey,4,3,2,131,248727
Turkey,8,3,2,90,242790
Turkey,6,3,2,100,218473
Turkey,7,3,2,95,236734
Turkey,10,3,2,110,181517
Turkey,4,4,3,120,243418
Turkey,10,4,3,168,176082
Turkey,12,3,2,56,225000
Turkey,13,2,1,70,217000
Turkey,6,2,1,50,180000
Turkey,5,3,2,138,277167
Turkey,4,3,2,105,261713
Turkey,4,4,3,171,201082
Turkey,8,3,2,80,197129
Turkey,9,2,1,80,215212
Turkey,8,2,1,47,177992
Turkey,4,3,2,81,230000
Turkey,10,2,1,83,189126
Turkey,8,3,2,120,164485
Turkey,6,4,3,125,211951
Turkey,2,3,2,94,217386
Turkey,5,2,1,77,183691
Turkey,5,3,2,110,173365
Turkey,10,2,1,80,184778
Turkey,10,3,2,115,157605
Turkey,5,3,2,100,168474
Turkey,5,3,2,142,210864
Turkey,3,3,2,80,178256
Turkey,5,2,1,50,183821
Turkey,12,5,4,190,231516
Turkey,8,2,1,53,211433
Turkey,3,3,2,58,169561
Turkey,4,3,2,85,155431
Turkey,10,2,1,65,178256
Turkey,12,2,1,72,127823
Turkey,12,2,1,73,153431
Turkey,5,3,2,54,162162
Turkey,4,3,2,105,170796
Turkey,7,2,1,50,115063
Turkey,5,3,2,65,172822
Turkey,4,2,1,55,151083
Turkey,3,3,2,90,292384
Turkey,4,1,3,150,239569
Turkey,5,4,3,150,147229
Turkey,5,2,1,55,151083
Turkey,3,2,1,75,152170
Turkey,11,2,1,68,149859
Turkey,5,2,1,70,157605
Turkey,6,4,3,153,181517
Turkey,4,3,2,115,127171
Turkey,4,2,1,60,126084
Turkey,5,2,1,65,181108
Turkey,8,2,1,65,133692
Turkey,12,2,1,70,211951
Turkey,10,5,4,165,132605
Turkey,5,2,1,55,206516
Turkey,24,2,1,95,182604
Turkey,5,2,1,55,159778
Turkey,18,1,5,245,184969
Turkey,12,3,3,105,128610
Turkey,5,3,2,80,239124
Turkey,7,2,1,55,151083
Turkey,6,1,2,87,180610
Turkey,14,3,2,95,102501
Turkey,12,3,2,76,178000
Turkey,5,2,1,51,173365
Turkey,4,2,1,80,183691
Turkey,5,3,2,122,146476
Turkey,5,2,1,62,111954
Turkey,2,2,1,60,151083
Turkey,11,1,2,58,187969
Turkey,5,3,2,110,117388
Turkey,3,2,1,60,167387
Turkey,8,3,2,110,248907
Turkey,12,3,2,100,227679
Turkey,5,3,2,90,164291
Turkey,3,3,2,100,133692
Turkey,5,2,1,80,143475
Turkey,10,5,4,200,298905
Turkey,5,2,1,44,191000
Turkey,4,3,2,85,201082
Turkey,5,2,1,65,188039
Turkey,12,2,1,50,185321
Turkey,9,2,1,51,96654
Turkey,9,3,2,125,186952
Turkey,2,3,2,77,222820
Turkey,6,3,2,125,195647
Turkey,7,3,2,124,236950
Turkey,6,2,1,48,206516
Turkey,11,2,1,70,170648
Turkey,7,3,2,108,199000
Turkey,7,2,1,55,171735
Turkey,3,5,4,175,232603
Turkey,7,3,2,106,204662
Turkey,3,4,3,110,235863
Turkey,10,3,2,70,235000
Turkey,5,2,1,50,160000
Turkey,8,2,1,53,258345
Turkey,5,2,1,52,122037
Turkey,15,3,2,120,115214
Turkey,9,2,1,68,99997
Turkey,5,4,3,104,196203
Turkey,5,2,1,49,170000
Turkey,3,4,4,135,105123
Turkey,13,2,1,72,82607
Turkey,12,5,4,159,148909
Turkey,4,3,2,350,134900
Turkey,4,1,3,160,243245
Turkey,13,3,2,77,76704
Turkey,5,2,1,60,233690
Turkey,3,2,1,55,114127
Turkey,4,2,1,60,161952
Turkey,8,3,2,95,166300
Turkey,12,5,4,250,326078
Turkey,7,2,1,42,106519
Turkey,3,4,3,139,107606
Turkey,8,3,2,64,162900
Turkey,30,2,1,77,291297
Turkey,30,2,2,125,98000
Turkey,9,2,1,65,143475
Turkey,14,2,1,54,86258
Turkey,4,1,3,175,374861
Turkey,15,4,3,162,389120
Turkey,6,4,3,154,342382
Turkey,5,3,2,95,301079
Turkey,6,3,2,120,195647
Turkey,5,2,1,51,164677
Turkey,13,1,3,100,114981
Turkey,10,3,2,125,204343
Turkey,5,4,3,118,358686
Turkey,8,2,1,54,189126
Turkey,7,3,2,110,121736
Turkey,16,2,1,86,104345
Turkey,13,2,1,70,205000
Turkey,10,2,1,54,130000
Turkey,28,5,4,233,382599
Turkey,24,2,1,61,382599
Turkey,5,5,4,201,417380
Turkey,5,2,1,38,152900
Turkey,8,3,2,90,155608
Turkey,10,3,2,120,179343
Turkey,6,4,3,292,379338
Turkey,10,3,2,78,374990
Turkey,12,3,2,80,209234
Turkey,8,2,1,52,127878
Turkey,9,2,1,54,270000
Turkey,7,4,3,160,331513
Turkey,13,3,2,107,153257
Turkey,6,2,1,70,154344
Turkey,8,2,1,50,115141
Turkey,5,2,1,70,392381
Turkey,12,2,1,65,146735
Turkey,20,3,2,61,371729
Turkey,5,2,1,65,310861
Turkey,5,5,4,179,314401
Turkey,10,2,1,85,126728
Turkey,4,3,3,240,478974
Turkey,48,4,3,147,389120
Turkey,4,3,2,85,331513
Turkey,5,5,4,150,265304
Turkey,30,2,1,78,440878
Turkey,6,4,3,150,391294
Turkey,13,5,4,121,402163
Turkey,31,2,1,74,380425
Turkey,25,2,1,61,246733
Turkey,15,3,2,92,397816
Turkey,10,4,3,172,396729
Turkey,12,3,2,95,338035
